JourneyRef,DistanceMade,RecordedAt
2022-08-16-53379525,47834,2022-08-16 10:14:23
2022-08-16-53379525,48189,2022-08-16 10:14:38
2022-08-16-53379525,48603,2022-08-16 10:14:54
2022-08-16-53379525,48954,2022-08-16 10:15:08
2022-08-16-53379525,49354,2022-08-16 10:15:23
2022-08-16-53379525,49723,2022-08-16 10:15:39
2022-08-16-53379525,50079,2022-08-16 10:15:53
2022-08-16-53379525,50479,2022-08-16 10:16:08
2022-08-16-53379525,50859,2022-08-16 10:16:23
2022-08-16-53379525,51270,2022-08-16 10:16:39
2022-08-16-53379525,51674,2022-08-16 10:16:54
2022-08-16-53379525,52064,2022-08-16 10:17:08
2022-08-16-53379525,52509,2022-08-16 10:17:24
2022-08-16-53379525,52924,2022-08-16 10:17:39
2022-08-16-53379525,53314,2022-08-16 10:17:53
2022-08-16-53379525,53759,2022-08-16 10:18:09
2022-08-16-53379525,54144,2022-08-16 10:18:23
2022-08-16-53379525,54559,2022-08-16 10:18:38
2022-08-16-53379525,54964,2022-08-16 10:18:53
2022-08-16-53379525,55379,2022-08-16 10:19:08
2022-08-16-53379525,55826,2022-08-16 10:19:24
2022-08-16-53379525,56214,2022-08-16 10:19:38
2022-08-16-53379525,56656,2022-08-16 10:19:54
2022-08-16-53379525,57049,2022-08-16 10:20:08
2022-08-16-53379525,57463,2022-08-16 10:20:23
2022-08-16-53379525,57879,2022-08-16 10:20:38
2022-08-16-53379525,58325,2022-08-16 10:20:54
2022-08-16-53379525,58741,2022-08-16 10:21:09
2022-08-16-53379525,59130,2022-08-16 10:21:23
2022-08-16-53379525,59486,2022-08-16 10:21:39
2022-08-16-53379525,59733,2022-08-16 10:21:54
2022-08-16-53379525,59949,2022-08-16 10:22:08
2022-08-16-53379525,60078,2022-08-16 10:22:20
2022-08-16-53379525,60129,2022-08-16 10:22:27
2022-08-16-53379525,60239,2022-08-16 10:22:54
2022-08-16-53379525,60292,2022-08-16 10:23:07
2022-08-16-53379525,60344,2022-08-16 10:23:18
2022-08-16-53379525,60394,2022-08-16 10:23:31
2022-08-16-53379525,60449,2022-08-16 10:23:42
2022-08-16-53379525,60549,2022-08-16 10:24:06
2022-08-16-53379525,60603,2022-08-16 10:24:21
2022-08-16-53379525,60713,2022-08-16 10:24:38
2022-08-16-53379525,60875,2022-08-16 10:24:54
2022-08-16-53379525,61049,2022-08-16 10:25:10
2022-08-16-53379525,61219,2022-08-16 10:25:26
2022-08-16-53379525,61330,2022-08-16 10:25:37
2022-08-16-53379525,61457,2022-08-16 10:25:46
2022-08-16-53379525,61874,2022-08-16 10:26:11
2022-08-16-53379525,62230,2022-08-16 10:26:27
2022-08-16-53379525,62444,2022-08-16 10:26:37
